자마, 88, 147
자타, 93, 165
가타, 95, 173
사나, 89, 182
카아, 95, 183
다나, 84, 155
차라, 45, 189
바카, 45, 158
가나, 42, 195
나마, 59, 167
자하, 90, 186
다자, 54, 162
바가, 84, 181
타바, 65, 197
파아, 48, 141
자타, 81, 191
하차, 75, 196
마바, 48, 196
라차, 55, 170
다카, 47, 153
자다, 52, 163
자하, 87, 184
자차, 84, 196
마가, 51, 163
타가, 45, 178
카마, 77, 192
사타, 48, 181
타타, 55, 192
카다, 99, 186
마사, 47, 161
나카, 47, 154
아마, 58, 190
타라, 56, 197
마아, 45, 181
차카, 46, 141
카가, 73, 158
파파, 58, 160
카다, 79, 190
파나, 58, 195
카하, 92, 188
나차, 62, 187
자나, 49, 168
바자, 41, 166
라가, 40, 149
카라, 59, 147
바바, 56, 183
다아, 74, 168
타바, 73, 142
파사, 93, 140
하카, 69, 178
파바, 40, 148
아나, 85, 194
다차, 97, 140
파가, 69, 174
아가, 67, 172
하아, 58, 181
차가, 43, 175
아카, 41, 162
차자, 96, 164
카카, 74, 195
타라, 80, 148
마아, 56, 177
아자, 48, 191
나나, 88, 155
하파, 44, 157
사가, 78, 176
가가, 93, 189
바차, 44, 151
나카, 81, 179
마자, 88, 167
타카, 55, 169
마바, 64, 171
하파, 84, 178
하카, 95, 154
타파, 94, 145
카마, 57, 176
자사, 74, 195
타마, 72, 161
다자, 46, 153
타나, 86, 142
라하, 52, 157
자마, 82, 147
아아, 50, 197
파아, 69, 199
라타, 45, 148
하차, 88, 148
바하, 48, 164
차사, 76, 175
카타, 56, 183
파타, 51, 165
사하, 67, 150
나차, 82, 177
차바, 68, 153
자마, 61, 175
아바, 61, 165
아바, 55, 187
하하, 53, 188
나차, 95, 140
차카, 87, 197
사파, 87, 161
다자, 63, 162
다카, 48, 153
아카, 44, 146
다자, 85, 160
하다, 81, 176
라카, 69, 157
자하, 99, 142
다가, 46, 153
타마, 73, 141
가다, 65, 190
마타, 43, 186
나차, 75, 151
나카, 74, 191
카타, 96, 140
카차, 50, 198
파차, 66, 147
아하, 66, 160
바차, 75, 145
마차, 66, 182
나하, 50, 180
가자, 73, 179
마타, 90, 152
마타, 78, 148
파마, 46, 164
나파, 57, 199
가마, 87, 186
차사, 46, 170
아나, 87, 159
사바, 58, 198
아파, 66, 141
가바, 89, 182
가차, 78, 194
아하, 59, 193
하타, 54, 184
아파, 61, 146
파바, 83, 175
타라, 44, 162
자라, 84, 165
파파, 69, 168
자가, 71, 182
마사, 44, 184
자하, 44, 170
카바, 79, 192
파차, 70, 142
바타, 78, 180
나다, 47, 192
타나, 45, 162
타나, 58, 150
차파, 60, 154
다나, 84, 146
다카, 76, 155
차나, 92, 172
파가, 76, 168
라카, 82, 162
나카, 94, 151
차카, 69, 193
아라, 65, 178
나가, 59, 149
라나, 42, 196
카하, 55, 166
바타, 48, 185
자나, 91, 142
자카, 58, 144
카파, 84, 163
자가, 96, 167
파라, 65, 191
다파, 41, 182
나아, 96, 149
아하, 62, 180
가차, 47, 198
다나, 63, 152
다자, 48, 185
마바, 51, 192
가아, 59, 174
타아, 92, 197
라자, 71, 152
마카, 49, 148
사타, 76, 164
마가, 87, 180
타하, 71, 141
사사, 55, 168
라라, 62, 163
파타, 56, 193
아자, 62, 152
바아, 52, 147
가하, 81, 149
라가, 48, 143
라파, 43, 176
카파, 68, 144
하차, 48, 180
라바, 57, 193
바다, 54, 146
바하, 53, 147
하아, 74, 159
차아, 83, 166
차타, 42, 191
다가, 75, 151
나마, 85, 176
라차, 50, 157
나차, 51, 173
카나, 57, 157
하카, 60, 164
파타, 51, 166
가아, 71, 145
카파, 40, 162
라가, 98, 148
나자, 40, 186
차하, 44, 184
가파, 81, 193
하파, 77, 151
타자, 45, 147
다마, 96, 183
차사, 48, 155
사나, 78, 187
다파, 53, 149
라자, 84, 141
자카, 78, 168
다아, 91, 142
마가, 54, 150
파나, 40, 161
가가, 62, 150
파차, 42, 165
나차, 72, 176
차하, 94, 180
마타, 52, 166
아타, 97, 161
나다, 56, 172
사라, 86, 156
타카, 72, 192
다하, 61, 175
가다, 57, 156
하카, 50, 172
다타, 43, 155
자사, 81, 185
차라, 53, 150
나사, 75, 191
하마, 64, 175
라카, 93, 155
타사, 57, 195
다가, 71, 140
가바, 71, 147
자가, 57, 163
카가, 96, 144
다나, 62, 161
하자, 98, 176
차카, 70, 149
가바, 50, 177
사라, 47, 151
차타, 66, 191
파가, 75, 147
카하, 99, 178
자다, 82, 141
마마, 45, 172
라차, 61, 168
아바, 40, 165
마사, 48, 198
타다, 58, 157
나카, 83, 159
아다, 66, 148
